DAV_OBMAP v3 cell_size=10
-205 -156 -1 1
-204 -156 -1 1
-202 -156 5 0
-201 -153 5 0
-201 -152 6 0
-211 -151 4 0
-213 -151 2 1
-204 -153 6 0
-203 -153 7 0
-203 -153 8 0
-205 -154 4 0
-206 -155 6 0
-205 -154 7 0
-210 -151 6 0
-206 -151 4 0
-203 -155 5 0
-203 -155 6 0
-203 -156 7 0
-208 -154 5 0
-208 -155 6 0
-202 -152 5 0
-205 -152 4 0
-204 -153 5 0
-203 -153 5 0
-208 -152 4 0
-210 -153 4 0
-211 -153 5 0
-209 -155 5 0
-206 -154 4 0
-206 -155 4 0
-206 -156 5 0
-206 -151 3 0
-205 -151 3 0
-204 -151 4 0
-203 -151 4 0
-209 -154 3 0
-209 -155 4 0
-210 -156 4 0
-203 -155 3 0
-212 -152 3 0
-207 -153 3 0
-207 -155 2 1
-207 -156 2 1
-205 -152 2 0
-204 -152 2 0
-203 -152 2 0
-202 -152 1 1
-205 -155 1 2
-206 -156 0 1
-206 -156 1 1
-206 -156 2 1
-206 -155 0 1
-206 -155 1 2
-206 -155 2 1
-211 -152 -1 1
-211 -151 2 1
-211 -152 2 1
-211 -153 2 1
-211 -154 1 1
-211 -151 1 1
-215 -152 0 1
-215 -152 1 1
-215 -152 2 1
-203 -154 3 0
-202 -154 7 0
-204 -155 4 0
-204 -155 5 0
-205 -155 6 0
-205 -155 7 0
-203 -152 6 0
-203 -151 7 0
-203 -155 4 0
-202 -155 5 0
-202 -156 6 0
-201 -156 6 0
-202 -153 4 0
-201 -153 4 0
-201 -152 5 0
-207 -151 1 1
-204 -158 5 0
-201 -155 4 0
-209 -153 2 1
-210 -154 2 1
-208 -156 5 0
-203 -156 3 0
-203 -157 3 0
-202 -158 4 0
-204 -152 -1 1
-202 -159 4 0
-202 -154 3 0
-201 -154 3 0
-208 -153 2 1
-208 -152 2 1
-207 -153 2 1
-206 -157 3 0
-206 -158 3 0
-209 -151 6 0
-201 -152 2 0
-201 -151 2 0
-204 -158 2 1
-211 -152 5 0
-211 -153 6 0
-207 -157 0 0
-201 -157 0 1
-201 -157 1 2
-210 -152 2 1
-210 -151 2 1
-215 -151 5 0
-201 -155 0 2
-201 -160 1 1
-204 -158 0 1
-204 -158 1 1
-205 -153 5 0
-205 -153 6 0
-204 -153 7 0
-201 -157 4 0
-213 -151 6 0
-215 -151 3 0
-212 -151 2 1
-212 -152 2 1
-210 -151 0 2
-207 -154 8 0
-205 -151 6 0
-205 -151 7 0
-212 -151 5 0
-214 -151 -1 1
-214 -151 0 1
-214 -151 1 2
-213 -151 -1 1
-213 -151 0 2
-213 -151 1 1
-212 -151 -1 1
-212 -151 0 1
-212 -151 1 1
-206 -157 6 0
-207 -151 5 0
-211 -151 3 0
-210 -151 4 0
-210 -152 4 0
-202 -154 5 0
-201 -154 6 0
-210 -155 5 0
-205 -151 4 0
-214 -151 3 0
-214 -152 3 0
-205 -154 3 0
-204 -156 4 0
-208 -151 2 1
-204 -153 3 0
-203 -152 3 0
-202 -152 4 0
-201 -152 4 0
-207 -155 3 0
-208 -156 4 0
-212 -153 2 1
-202 -156 3 0
-209 -153 3 0
-204 -151 3 0
-209 -152 0 2
-210 -153 -1 1
-210 -153 0 1
-210 -153 1 1
-210 -152 -1 1
-210 -152 0 1
-210 -152 1 1
-210 -151 -1 1
-210 -151 1 2
-209 -153 -1 1
-209 -153 0 1
-209 -153 1 2
-209 -152 -1 1
-209 -152 1 1
-209 -151 -1 1
-209 -151 0 1
-209 -151 1 1
-204 -155 3 0
-203 -157 4 0
-203 -158 4 0
-203 -153 3 0
-202 -153 3 0
-202 -157 0 1
-202 -157 1 2
-202 -157 2 1
-208 -151 1 1
-201 -156 3 0
-201 -157 3 0
-202 -151 2 0
-202 -155 1 1
-205 -157 2 1
-205 -158 2 0
-203 -154 2 0
-202 -154 2 0
-201 -154 1 1
-201 -152 1 1
-208 -156 1 0
-201 -153 -1 1
-201 -153 0 1
-203 -155 -1 1
-202 -155 -1 1
-202 -154 -1 1
-202 -154 0 2
-202 -154 1 1
-202 -153 -1 1
-202 -153 0 2
-202 -153 1 1
-208 -154 -1 1
-207 -155 -1 1
-206 -155 -1 1
-205 -155 -1 1
-207 -152 2 1
-212 -153 1 2
-211 -153 -1 1
-211 -153 0 1
-211 -153 1 1
-213 -153 3 0
-213 -152 3 0
-212 -152 1 1
-212 -152 0 2
-201 -160 0 1
-201 -160 2 1
-201 -159 0 1
-201 -159 2 1
-214 -152 1 1
-214 -152 0 1
-214 -152 -1 1
-210 -151 3 0
-201 -152 0 2
-201 -152 -1 1
-202 -152 0 1
-202 -152 -1 1
-202 -155 2 1
-202 -155 0 2
-202 -156 2 1
-202 -156 1 2
-208 -151 0 2
-208 -151 -1 1
