DAV_OBMAP v3 cell_size=10
-229 13 7 1
-229 13 6 1
-229 12 8 1
-229 12 7 2
-229 12 6 2
-229 11 8 1
-229 11 7 1
-229 11 6 1
-230 13 8 1
-230 13 7 1
-230 12 8 1
-230 11 8 1
-230 11 7 1
-230 12 7 2
-224 13 -1 1
-206 15 0 1
-206 15 1 1
-223 13 0 1
-226 9 -1 1
-206 14 -1 1
-206 29 4 1
-211 28 4 1
-211 29 4 1
-211 30 4 1
-206 41 10 0
-225 42 5 1
-225 42 4 1
-225 41 5 1
-239 27 3 1
-239 27 4 2
-250 1 3 0
-250 1 4 0
-242 17 7 1
-242 17 8 1
-242 17 9 1
-241 15 6 1
-241 16 6 1
-241 17 6 1
-240 15 6 1
-240 16 6 1
-240 17 6 1
-239 15 6 1
-239 16 6 1
-239 17 6 1
-241 13 10 0
-241 13 7 0
-240 10 8 0
-240 10 10 0
-240 10 7 0
-237 9 8 0
-237 9 10 0
-237 9 7 0
-236 11 8 0
-234 10 8 1
-235 10 10 0
-235 10 7 0
-237 13 4 0
-238 27 0 1
-238 26 0 1
-238 25 0 1
-238 24 5 1
-238 24 4 1
-238 24 3 1
-238 23 5 2
-238 23 4 2
-238 23 3 1
-201 41 9 0
-238 22 6 1
-237 22 6 1
-237 23 6 1
-237 24 6 1
-240 25 5 1
-241 25 0 1
-241 26 0 1
-238 25 5 1
-243 25 2 1
-243 25 3 2
-235 49 7 1
-238 48 6 1
-235 49 5 1
-235 47 7 1
-235 48 8 1
-235 46 8 1
-212 40 3 1
-221 0 41 1
-246 21 5 1
-211 43 -1 1
-211 42 0 1
-211 42 -1 1
-209 40 3 1
-209 40 2 1
-228 42 0 2
-228 43 -1 1
-228 43 0 2
-228 43 1 1
-228 44 -1 1
-228 44 0 2
-227 42 -1 1
-227 42 0 2
-227 43 -1 1
-227 43 1 1
-227 44 -1 1
-210 43 -1 1
-210 43 0 2
-210 44 -1 1
-210 44 0 1
-210 44 1 1
-224 43 3 0
-225 40 1 1
-225 40 2 1
-225 42 1 1
-225 42 2 1
-225 42 3 1
-225 40 4 1
-231 35 9 0
-224 43 2 0
-223 43 2 0
-232 35 1 1
-232 35 2 1
-232 35 3 1
-239 34 4 1
-239 34 5 1
-239 34 6 1
-239 35 4 1
-239 35 5 1
-239 35 6 1
-225 46 3 1
-225 46 2 1
-225 46 1 1
-225 45 3 2
-225 45 2 2
-225 45 1 2
-225 44 3 1
-225 44 2 1
-219 1 42 0
-221 2 41 1
-221 2 42 0
-223 0 41 0
-223 0 42 0
-221 0 43 0
-221 0 40 1
-221 0 39 1
-235 45 0 1
-221 41 4 1
-221 40 4 1
-222 42 4 1
-203 46 7 1
-211 1 10 1
-211 2 10 1
-213 3 7 1
-213 3 8 1
-213 3 9 1
-213 4 7 1
-213 4 8 1
-213 4 9 1
-213 5 7 1
-213 5 8 1
-213 5 9 1
-212 5 8 1
-212 5 9 1
-204 45 6 1
-204 46 6 1
-207 5 12 0
-208 4 12 0
-207 5 10 0
-208 5 10 0
-209 4 10 0
-240 23 0 1
-240 24 0 1
-240 21 1 1
-240 21 2 1
-240 21 3 1
-208 4 9 0
-213 3 10 1
-213 4 10 1
-213 5 10 1
-212 3 10 1
-212 4 10 1
-240 25 0 1
-240 26 0 1
-242 25 2 1
-242 25 3 1
-242 25 4 1
-242 26 2 1
-242 26 3 2
-242 26 4 2
-242 27 2 1
-242 27 3 1
-242 27 4 2
-242 25 1 1
-242 26 1 1
-242 27 1 1
-248 23 5 1
-243 22 3 1
-243 22 4 1
-232 46 1 1
-232 46 2 1
-232 46 3 1
-231 43 2 0
-216 44 1 1
-204 44 1 1
-203 39 5 1
-203 38 7 1
-203 38 6 1
-203 38 5 1
-203 37 7 1
-203 37 6 1
-203 37 5 1
-202 38 6 2
-201 37 7 1
