DAV_OBMAP v3 cell_size=10
29 -162 3 3
29 -162 4 1
27 -163 1 0
27 -161 2 0
27 -161 3 0
27 -161 1 0
24 -161 1 0
22 -163 1 1
21 -164 0 1
21 -164 1 1
21 -164 2 1
21 -163 0 1
26 -173 2 0
24 -172 4 0
24 -172 5 0
24 -172 0 1
23 -173 -1 1
34 -179 3 0
35 -179 3 0
35 -179 4 0
25 -171 -1 1
34 -177 3 0
34 -177 4 0
34 -177 2 0
33 -177 3 0
33 -177 4 0
33 -177 2 0
25 -166 0 1
31 -177 2 0
31 -179 3 0
31 -179 4 0
26 -166 0 1
4 -163 4 0
32 -180 4 0
31 -180 2 0
3 -162 4 0
3 -161 4 0
2 -162 5 0
3 -161 5 0
2 -162 4 0
2 -161 4 0
2 -161 5 0
0 -161 4 0
33 -179 0 1
32 -180 -1 1
33 -180 -1 1
34 -180 -1 1
34 -179 -1 1
34 -178 -1 1
35 -180 3 0
36 -180 3 0
36 -180 4 0
36 -180 2 0
35 -178 3 0
35 -178 4 0
35 -178 2 0
34 -178 4 0
33 -178 2 0
34 -181 3 0
34 -182 3 0
34 -181 4 0
34 -182 2 2
33 -183 1 1
33 -183 2 1
33 -183 3 1
33 -182 1 1
33 -182 2 1
34 -183 1 1
34 -183 2 1
42 -171 0 1
42 -170 0 1
33 -178 3 0
34 -178 3 0
32 -178 3 0
33 -178 4 0
34 -178 2 0
32 -177 3 0
33 -176 3 0
33 -176 4 0
33 -176 2 0
30 -176 2 0
30 -179 3 0
30 -179 4 0
30 -179 2 0
32 -179 3 0
32 -180 3 0
32 -179 4 0
32 -180 2 0
33 -179 3 0
33 -179 4 0
33 -179 2 0
32 -178 4 0
32 -178 5 0
32 -178 0 1
31 -179 -1 1
31 -178 -1 1
32 -179 -1 1
32 -178 -1 1
32 -177 -1 1
33 -179 -1 1
33 -178 -1 1
33 -177 -1 1
28 -163 2 0
28 -163 1 0
27 -162 2 0
44 -172 2 0
45 -172 2 0
44 -172 3 0
45 -172 3 0
44 -169 1 1
45 -170 1 1
45 -170 2 2
45 -170 3 1
45 -169 1 1
45 -169 2 1
45 -169 3 1
44 -171 3 0
12 -166 2 0
13 -166 2 0
13 -166 3 0
14 -165 2 0
14 -166 2 0
14 -165 3 0
13 -164 3 0
13 -164 4 0
13 -164 0 1
12 -165 -1 1
13 -165 -1 1
13 -164 -1 1
13 -163 -1 1
14 -165 -1 1
14 -164 -1 1
14 -163 -1 1
13 -164 2 0
28 -161 4 1
29 -161 2 1
29 -161 3 1
29 -161 4 1
30 -163 4 1
30 -162 3 1
30 -162 4 1
30 -161 4 1
30 -162 1 1
29 -161 0 1
30 -162 0 1
30 -161 0 1
31 -163 0 1
31 -162 0 1
31 -161 0 1
27 -163 3 0
26 -164 3 0
25 -164 1 1
25 -164 0 1
27 -165 2 0
27 -165 3 0
28 -166 2 0
28 -166 3 0
28 -165 1 0
28 -166 1 0
29 -165 2 0
17 -165 -1 1
17 -166 -1 1
17 -167 -1 1
16 -165 -1 1
16 -166 -1 1
16 -167 -1 1
15 -167 -1 1
16 -166 0 1
16 -166 4 0
17 -168 2 0
17 -168 3 0
17 -167 3 0
18 -168 2 0
17 -167 2 0
16 -168 3 0
16 -168 2 0
46 -172 3 0
46 -172 2 0
45 -171 3 0
46 -170 2 1
46 -170 1 1
46 -169 1 1
46 -169 2 1
46 -169 3 1
47 -171 1 1
49 -179 4 1
49 -178 2 1
28 -176 2 0
27 -177 4 0
27 -177 3 0
28 -176 3 0
27 -175 4 0
30 -174 2 0
29 -175 2 0
30 -174 4 0
30 -174 3 0
29 -175 3 0
31 -175 2 0
30 -175 2 0
31 -175 4 0
31 -175 3 0
30 -175 3 0
31 -164 2 0
31 -164 3 0
31 -164 1 0
31 -163 2 1
31 -163 3 0
31 -163 1 1
41 -184 0 1
41 -185 0 1
41 -186 0 2
40 -186 0 1
39 -186 0 1
40 -185 1 1
28 -161 0 1
29 -162 0 1
26 -164 1 1
26 -164 0 1
26 -163 1 1
29 -166 2 0
29 -166 3 0
29 -166 1 0
30 -165 2 0
31 -166 2 0
31 -166 3 0
30 -165 1 0
31 -166 1 0
29 -164 0 1
49 -181 2 1
49 -181 3 1
