DAV_OBMAP v3 cell_size=10
53 116 24 0
54 116 25 0
54 116 26 0
54 116 24 0
56 116 25 0
56 117 26 0
56 116 24 0
54 118 27 0
54 118 23 1
53 117 22 1
54 117 22 1
55 117 22 2
56 105 26 0
57 104 25 0
57 104 26 0
58 104 25 0
58 103 25 0
58 104 26 0
59 104 25 0
59 104 26 0
58 105 27 0
58 105 24 0
58 105 23 0
56 117 25 0
57 117 25 0
57 117 26 0
56 117 24 0
57 117 24 0
54 120 23 1
54 121 23 1
55 120 23 1
55 121 23 1
55 121 24 1
55 121 25 1
56 120 23 1
56 120 24 1
56 121 23 1
56 121 24 1
56 121 25 1
54 115 25 0
54 115 24 0
55 116 25 0
55 115 25 0
55 115 26 0
55 116 24 0
55 115 24 0
56 115 25 0
56 116 26 0
56 115 24 0
55 117 27 0
54 116 21 1
54 117 21 1
55 116 21 1
55 117 21 1
55 118 21 1
56 116 21 1
56 117 21 1
56 118 21 1
50 123 26 0
50 120 25 0
50 120 26 0
57 116 25 0
58 116 25 0
57 116 26 0
58 116 24 0
54 114 25 0
54 115 26 0
54 114 24 0
56 114 25 0
56 114 26 0
56 114 24 0
57 114 25 0
57 115 26 0
57 114 24 0
56 116 27 0
56 116 22 1
55 115 21 1
56 115 21 1
57 115 21 1
57 116 21 1
57 117 21 1
50 122 21 1
57 115 25 0
58 115 25 0
58 115 26 0
58 116 26 0
56 115 26 0
55 116 26 0
55 113 25 0
55 113 26 0
56 113 25 0
56 113 26 0
58 113 25 0
57 114 26 0
58 113 26 0
56 115 27 0
56 115 22 1
55 114 21 1
56 114 21 1
57 114 21 1
51 122 21 1
59 109 25 0
60 108 25 0
58 110 28 0
58 106 26 0
59 107 25 0
52 119 25 0
57 105 26 0
58 105 25 0
58 105 26 0
58 107 27 0
58 107 24 0
58 107 23 0
60 105 26 0
57 106 26 0
56 105 25 0
60 104 25 0
59 113 25 0
59 113 26 0
58 114 25 0
58 114 26 0
56 112 25 0
56 112 26 0
57 112 25 0
57 111 25 0
57 112 26 0
58 112 25 0
58 112 26 0
57 113 26 0
57 113 27 0
57 113 24 0
57 113 23 0
57 113 25 0
56 104 24 0
57 103 25 0
56 103 25 0
57 103 26 0
56 103 24 0
