DAV_OBMAP v2 cell_size=10
-5 -20 1 1
-5 -21 -1 1
-5 -21 1 1
-5 -20 -1 1
-5 -20 0 6
-5 -19 -1 1
-5 -19 0 2
-5 -19 1 1
-7 -18 -1 1
-27 10 7 1
-27 11 7 1
-26 10 7 1
-26 11 7 1
-25 10 7 1
-25 11 7 1
-27 8 5 0
-27 6 5 0
-26 7 5 0
-26 8 6 0
-24 -2 4 1
-41 15 7 1
-38 -2 1 1
-37 13 8 0
-51 5 9 6
-52 6 9 3
-53 4 9 0
-54 3 9 0
-52 4 9 0
-51 3 9 0
-39 -1 5 0
-42 -1 5 0
-21 -45 8 0
-42 -3 5 0
-40 -2 5 0
-40 -2 6 0
-22 -43 5 0
-62 11 3 1
-22 -46 9 0
-22 -48 6 0
-49 28 5 1
-23 -47 6 0
-47 19 2 1
-50 28 6 1
-51 5 10 6
-52 6 10 4
-53 5 10 0
-54 6 10 0
-54 5 10 0
-53 4 10 0
-54 3 10 0
-52 4 10 0
-52 3 10 0
-51 3 10 0
-52 5 11 0
-31 -4 3 1
-7 -5 8 1
-7 -5 9 1
-42 16 14 0
-42 15 13 1
-42 15 14 0
-40 15 13 1
-6 -5 8 1
-6 -5 9 1
-42 15 12 6
-41 14 13 1
-41 14 14 1
-41 16 15 0
-20 -45 8 0
-20 -45 6 0
-41 -2 5 0
-23 -43 8 0
-23 -45 7 0
-23 -46 7 0
-23 -46 8 0
-23 -46 6 0
-22 -46 7 0
-22 -47 7 0
-22 -46 8 0
-22 -47 6 0
-42 13 13 1
-51 25 5 0
-21 -46 6 0
-52 22 7 1
-22 -45 5 0
-32 -8 3 1
-54 5 11 0
-53 4 11 0
-53 3 11 0
-52 4 11 0
-52 3 11 0
-33 13 7 1
-51 3 11 0
-34 14 5 3
-21 -46 7 0
-20 -46 8 0
-36 12 5 0
-35 11 5 0
-20 -44 6 0
-22 -44 8 0
-47 16 1 1
-23 -44 8 0
-24 -46 7 0
-23 -47 7 0
-23 -47 8 0
