DAV_OBMAP v3 cell_size=10
-118 115 2 1
-118 116 2 1
-118 114 1 1
-118 116 1 1
-116 112 3 0
-82 43 10 0
-41 -162 8 1
-40 -164 8 1
-40 -163 8 1
-40 -162 8 1
-44 -164 5 0
-45 -166 5 0
-43 -168 6 0
-28 -9 5 1
-41 -167 6 0
-41 -167 7 0
-41 -167 5 0
-43 -166 8 0
-43 -166 3 1
-44 -167 2 1
-43 -167 2 1
-42 -167 2 1
-27 -10 6 1
-27 -9 5 1
-27 -9 6 1
13 26 10 1
13 27 10 1
-122 70 2 1
-75 -59 4 1
-75 -60 4 1
-141 69 9 1
-86 81 1 1
-64 65 2 1
-64 64 2 1
-65 66 2 1
-65 65 2 1
-65 64 2 1
-64 65 3 2
-62 64 5 0
-62 64 7 0
-64 62 4 2
-83 72 5 1
-171 -35 0 0
-171 -35 4 0
-170 -36 1 0
-170 -36 2 0
-171 -37 1 0
-171 -37 3 0
-171 -37 2 0
-172 -35 3 0
-173 -35 2 0
-169 -35 3 0
-92 66 12 0
-91 66 12 0
-60 72 6 4
-60 73 6 8
-60 73 5 1
-82 64 7 0
-81 67 6 0
-81 68 6 1
-68 60 6 1
-70 55 2 1
-75 75 6 0
-76 74 4 1
-76 74 5 1
-69 87 6 0
-68 87 6 0
-68 87 7 0
-69 87 5 1
-134 190 3 1
-133 191 9 0
-133 191 8 0
-133 189 8 0
-64 -168 6 0
-65 -168 7 0
-65 -167 7 0
-65 -167 8 0
-65 -168 6 0
-65 -167 6 0
-66 -167 7 0
-65 -171 8 0
-65 -169 9 0
-65 -169 4 1
-66 -168 3 1
-65 -168 3 1
-64 -170 3 1
-74 26 4 0
-87 33 5 1
-65 38 5 1
-52 25 5 0
-54 23 3 2
-193 83 7 0
-193 83 6 0
-194 82 7 0
-195 83 7 0
-53 26 4 0
-195 82 7 0
-194 82 6 0
-195 83 6 0
-195 81 7 0
-195 81 6 0
-194 80 7 0
-195 80 7 0
-194 80 6 0
-195 80 6 0
-193 79 6 0
-193 81 8 0
-193 81 9 0
-193 81 5 0
-38 53 13 0
-39 53 11 1
-39 54 12 0
-39 54 13 0
-39 54 11 1
-40 56 12 7
-41 57 11 1
-41 57 12 1
-41 57 13 1
-85 48 3 0
-85 48 -2 1
-40 57 13 1
-39 56 11 1
-41 55 14 1
-42 53 10 1
-42 54 10 17
-194 83 7 0
-195 82 6 0
-196 83 7 0
-44 53 1 1
-196 83 6 0
-196 81 7 0
-197 81 7 0
-31 66 12 0
-196 81 6 0
-197 81 6 0
-196 80 7 0
-196 80 6 0
-195 79 7 0
-195 79 6 0
-195 81 8 0
-195 81 9 0
-195 81 5 0
-50 72 8 1
-50 73 6 1
-50 73 7 2
-95 16 14 4
-96 16 15 1
-133 4 2 1
-132 4 0 4
-54 -152 5 1
-55 -150 5 1
-56 -151 6 0
-56 -150 6 0
-56 -150 7 0
-56 -150 5 1
-57 -150 6 0
-57 -150 7 0
-57 -150 5 1
-56 -152 4 3
-57 -151 3 3
-56 -151 3 4
-132 4 1 12
-132 4 2 1
-141 223 0 1
-139 223 2 0
-142 223 3 0
-142 221 3 0
-142 221 4 0
-142 221 2 0
-142 220 3 0
-140 219 3 0
-140 221 1 2
-141 220 0 1
-140 220 0 1
-139 220 0 1
-148 215 6 0
-147 215 6 0
-148 215 7 0
-147 215 7 0
-148 216 6 0
-148 217 6 0
-148 216 7 0
-149 217 6 0
-149 217 7 0
-150 217 6 0
-148 214 7 0
-149 215 7 0
-149 215 8 0
-149 215 5 0
-149 215 4 0
-149 215 6 0
-147 217 6 0
-146 217 6 0
-147 217 7 0
-146 217 7 0
-148 218 6 0
-148 217 7 0
-148 218 7 0
-102 249 6 2
-102 247 7 1
-102 248 7 2
-102 249 7 1
-101 247 5 1
-101 247 6 1
-65 23 3 1
-96 43 8 3
-82 27 8 1
-60 41 4 0
-61 42 2 5
-62 41 1 1
-62 42 1 3
-62 43 1 3
-61 42 1 4
-61 43 1 3
-60 43 1 3
-72 23 8 0
-80 46 5 0
-80 46 4 0
-85 21 1 2
-87 16 2 1
-87 16 3 1
-87 16 4 1
-86 17 0 1
-86 18 0 1
-86 19 0 1
-81 19 4 1
-71 29 3 0
-87 37 5 0
-87 37 4 0
-52 4 7 1
-84 43 4 0
-62 48 5 1
-63 48 5 4
-64 0 -1 1
-60 26 4 0
-95 -68 5 14
-95 -68 4 1
-95 -71 4 1
-80 -74 2 0
-79 -74 2 0
-80 -74 1 0
-137 257 9 0
-137 257 8 0
-139 258 8 0
-139 257 8 0
-139 257 9 0
-138 256 8 0
-139 255 8 0
-138 256 9 0
-138 255 9 0
-137 256 8 0
-137 255 8 0
-137 256 9 0
-137 255 9 0
-136 255 8 0
-136 255 9 0
-137 257 10 0
-137 257 7 0
-137 257 6 0
-139 256 8 0
-139 256 9 0
-140 255 8 0
-139 255 9 0
-140 255 9 0
-139 254 8 0
-139 254 9 0
-138 254 8 0
-138 253 8 0
-138 254 9 0
-138 253 9 0
-137 254 8 0
-137 254 9 0
-138 255 10 0
-138 255 7 0
-138 255 6 0
-138 255 8 0
-137 253 8 0
-137 253 9 0
-140 254 8 0
-140 253 8 0
-264 -31 1 0
-265 -32 1 1
-266 -33 2 0
-21 145 12 0
-22 145 12 0
-22 145 11 0
-23 143 13 0
-23 143 14 0
-264 -37 0 1
-263 -37 0 1
-266 -40 1 0
-266 -40 2 0
-265 -44 0 2
-265 -44 1 1
-265 -43 -1 1
-265 -43 0 1
-264 -44 -1 1
-264 -44 0 2
-264 -44 1 1
-264 -43 -1 1
-263 -44 -1 1
-263 -44 0 1
-263 -44 1 1
-263 -43 -1 1
-251 -11 5 1
-251 -10 2 3
-252 -11 1 1
-252 -11 2 1
-251 -8 0 2
-252 -9 -1 1
-27 171 5 1
-27 172 6 1
-27 172 11 0
-27 172 10 0
-26 170 8 0
-27 173 5 1
-29 174 10 0
-27 177 5 1
-27 176 5 1
-27 175 5 1
-28 176 11 0
-27 175 10 0
-27 177 8 0
-27 177 10 0
-27 177 9 0
-26 176 8 0
-26 176 10 0
-26 176 9 0
-183 206 6 0
-77 159 4 0
-35 190 6 1
-36 190 6 1
-37 190 10 0
-38 190 10 0
-37 190 9 0
-39 190 10 0
-41 190 10 0
-39 193 10 0
-39 193 9 0
-44 192 10 0
-45 191 10 0
-47 193 11 0
-47 191 10 0
-47 192 10 0
-47 191 9 0
-47 195 10 0
-47 194 10 0
-112 28 2 7
-126 47 1 1
-127 47 0 1
-127 48 2 1
-127 49 2 6
-139 45 2 1
-138 44 3 2
-129 42 16 0
-130 41 17 0
-131 42 17 0
-20 -49 3 1
-136 7 4 0
-135 6 7 0
-113 -94 7 1
-114 -94 7 1
-115 -93 7 1
-114 -94 6 2
-115 -96 3 0
-112 -95 7 1
-112 -95 5 1
-112 -96 7 1
-112 -96 6 5
-112 -96 5 1
-112 -97 7 1
-112 -97 6 1
-112 -97 5 1
-113 -95 7 1
-113 -96 7 1
-113 -97 7 1
-116 -67 8 1
-116 -65 8 1
-206 66 4 0
-211 82 8 0
-119 -87 8 1
-118 -87 7 0
-113 -52 0 14
-114 -52 0 7
-122 -51 3 1
-101 -63 1 1
-149 -76 -1 1
-148 -72 2 3
-149 -72 0 4
-147 -61 4 1
-148 -58 0 1
-147 -58 0 1
-111 -29 4 0
-110 -31 0 1
-104 -31 4 1
-113 -6 4 33
-112 -4 2 1
-111 -5 3 1
-123 -3 1 1
-123 -6 5 1
-105 -31 5 1
-104 -32 6 0
-145 -3 11 0
-145 -4 10 0
-61 22 5 1
-71 16 7 0
-73 17 8 0
-73 17 4 0
-58 102 32 0
-58 101 32 0
-72 16 9 0
-71 22 11 0
-75 7 16 0
95 -34 0 1
95 -33 0 1
95 -32 0 1
96 -32 0 1
97 -32 0 1
-75 6 14 0
-76 6 13 0
-63 22 11 0
-76 6 14 0
-77 7 13 0
-77 7 15 0
-65 28 9 4
-76 7 14 0
-76 8 13 0
-76 35 7 0
-64 24 7 1
-63 24 7 1
-66 20 7 1
-65 20 5 0
-63 5 6 0
-60 6 9 0
-85 42 6 0
-68 37 5 1000
-68 37 4 1
-68 43 6 0
-72 13 6 0
-68 9 9 0
-99 266 7 0
-99 266 8 0
-99 263 2 1
-99 264 2 1
-99 265 2 1
-100 267 7 0
-100 265 9 0
-100 265 5 0
-101 265 9 0
-120 21 9 0
-121 24 4 0
-121 23 3 0
-131 41 5 0
-131 39 3 1
-131 39 4 2
-132 40 3 1
-131 39 6 1
-132 40 6 1
-132 39 6 1
-132 39 5 1
-132 39 4 1
-148 28 5 1
-106 31 5 4
-146 7 4 0
-146 7 8 0
-145 6 5 0
-145 6 7 0
-145 6 6 0
-125 23 7 1
-115 3 33 1
-114 2 33 1
-114 3 33 1
-103 48 4 1
-103 47 2 3
-103 47 3 8
-103 47 4 1000
-138 2 13 0
-116 24 6 1
-115 25 6 0
-109 26 0 1
-109 27 0 1
-111 22 0 1
-111 23 0 1
-111 24 0 1
-110 24 0 3
-110 24 1 1
-108 23 0 3
-109 22 -1 1
-112 22 0 1
-112 23 0 1
-112 24 0 1
-124 12 11 0
-124 12 12 0
-124 12 15 0
-124 12 14 0
-124 10 12 0
-124 10 14 0
-124 10 13 0
-124 11 13 0
-126 11 12 0
-126 11 14 0
-126 11 13 0
-126 12 14 0
-126 12 13 0
-125 12 13 0
-125 191 8 0
-127 190 7 0
-116 193 5 1
-129 177 9 1
-128 178 8 1
-129 179 8 1
-129 178 8 1
-129 177 8 1
-129 177 7 1
-129 177 6 1
-127 179 6 0
-125 182 3 1
-125 181 3 1
-126 182 5 0
-126 182 9 0
-128 181 6 0
-128 181 8 0
-128 181 7 0
-130 183 8 1
-130 183 7 1
-130 183 6 1
-121 14 15 0
-121 14 14 0
-121 16 13 0
-120 15 13 0
-121 15 15 0
-121 16 14 0
-120 15 14 0
-119 16 13 0
-134 -318 10 0
-38 56 13 0
-39 58 11 1
-37 57 11 0
-33 -197 2 0
-32 -198 -1 1
-32 -198 0 1
-32 -198 1 1
-32 -197 -1 1
-32 -197 0 5
-32 -197 1 1
-32 -196 -1 1
-32 -196 0 6
-32 -196 1 1
-37 57 12 0
-36 57 11 0
-33 64 3 1
-32 62 3 1
-43 55 4 1
-115 24 32 0
-189 -153 6 0
-189 -153 7 0
-179 -156 10 0
-177 -157 9 0
-159 -172 6 1
-158 -173 6 1
-158 -172 6 1
-157 -173 6 1
-157 -172 6 1
-164 -189 6 1
-164 -190 6 1
-55 32 2 1000
-75 15 3 0
-77 16 4 0
-58 6 7 1
-96 0 6 1
-149 -61 2 1
-149 -61 1 1
-101 -62 0 7
-102 -62 2 1
-103 -62 1 1
-103 -62 0 1
-143 -76 6 1
-143 -76 7 1
-143 -76 8 1
-140 -78 8 2
-139 -78 6 1
-139 -78 7 4
-139 -78 8 1
-139 -77 7 2
-115 -66 7 1
-118 -88 6 8
-118 -89 7 1
-147 -72 1 1
-147 -72 0 1
-33 -196 2 0
-32 -195 -1 1
-32 -195 0 4
-32 -195 1 1
-33 -198 2 0
-32 -199 -1 1
-32 -199 0 1
-32 -199 1 1
-102 -99 3 0
-128 -85 8 0
-127 -85 8 0
-102 -91 0 4
-105 -96 6 0
-107 -54 -1 1
-102 -80 3 1
-109 -56 4 1
-56 8 7 0
-70 38 3 0
-72 37 3 1
-74 36 2 4
-73 38 3 3
20 -30 3 2
